transaction_date,bank_id,bank_name,total_volume,transaction_count,avg_transaction_value,unique_customers,avg_value_per_customer,data_quality_score,day_of_week,day_name,month,month_name,quarter,year,week_number,is_weekend,transfer_volume,deposit_volume,withdrawal_volume,payment_volume,volatility_score,market_segment
2025-03-18,BNK005,Digital Banking Corp,111357.55,764,145.76,489,227.73,94.7,2,Tuesday,3,March,Q1,2025,12,False,27839.39,27839.39,22271.51,33407.26,18.0,Large
2025-03-18,BNK006,Heritage Bank,38573.02,305,126.47,257,150.09,96.4,2,Tuesday,3,March,Q1,2025,12,False,13500.56,13500.56,7714.6,3857.3,10.0,Small
2025-03-18,BNK007,Innovation Bank,89787.74,766,117.22,515,174.35,92.7,2,Tuesday,3,March,Q1,2025,12,False,31425.71,22446.94,17957.55,17957.55,22.0,Large
2025-03-19,BNK001,Premier Bank,78399.38,750,104.53,613,127.89,99.2,3,Wednesday,3,March,Q1,2025,12,False,27439.78,19599.84,15679.88,15679.88,15.0,Large
2025-03-19,BNK002,Community First Bank,92860.91,653,142.21,544,170.7,97.1,3,Wednesday,3,March,Q1,2025,12,False,32501.32,23215.23,18572.18,18572.18,20.0,Medium
2025-03-19,BNK003,Metro Financial,92443.91,1146,80.67,722,128.04,97.3,3,Wednesday,3,March,Q1,2025,12,False,32355.37,23110.98,18488.78,18488.78,12.0,Large
2025-03-19,BNK004,Regional Trust Bank,72711.02,904,80.43,586,124.08,96.4,3,Wednesday,3,March,Q1,2025,12,False,25448.86,18177.76,14542.2,14542.2,25.0,Medium
2025-03-19,BNK005,Digital Banking Corp,130777.08,1366,95.74,1111,117.71,93.9,3,Wednesday,3,March,Q1,2025,12,False,32694.27,32694.27,26155.42,39233.12,18.0,Large
2025-03-19,BNK006,Heritage Bank,45300.42,440,102.96,362,125.14,97.2,3,Wednesday,3,March,Q1,2025,12,False,15855.15,15855.15,9060.08,4530.04,10.0,Small
2025-03-19,BNK007,Innovation Bank,87470.96,730,119.82,458,190.98,94.9,3,Wednesday,3,March,Q1,2025,12,False,30614.84,21867.74,17494.19,17494.19,22.0,Large
2025-03-20,BNK001,Premier Bank,114108.03,1157,98.62,778,146.67,99.8,4,Thursday,3,March,Q1,2025,12,False,39937.81,28527.01,22821.61,22821.61,15.0,Large
2025-03-20,BNK002,Community First Bank,88180.1,710,124.2,595,148.2,96.0,4,Thursday,3,March,Q1,2025,12,False,30863.04,22045.03,17636.02,17636.02,20.0,Medium
2025-03-20,BNK003,Metro Financial,87412.38,726,120.4,542,161.28,93.6,4,Thursday,3,March,Q1,2025,12,False,30594.33,21853.09,17482.48,17482.48,12.0,Large
2025-03-20,BNK004,Regional Trust Bank,45554.77,557,81.79,442,103.07,93.4,4,Thursday,3,March,Q1,2025,12,False,15944.17,11388.69,9110.95,9110.95,25.0,Medium
2025-03-20,BNK005,Digital Banking Corp,129348.16,886,145.99,785,164.77,99.3,4,Thursday,3,March,Q1,2025,12,False,32337.04,32337.04,25869.63,38804.45,18.0,Large
2025-03-20,BNK006,Heritage Bank,39503.47,267,147.95,237,166.68,98.8,4,Thursday,3,March,Q1,2025,12,False,13826.21,13826.21,7900.69,3950.35,10.0,Small
2025-03-20,BNK007,Innovation Bank,93030.0,924,100.68,661,140.74,98.8,4,Thursday,3,March,Q1,2025,12,False,32560.5,23257.5,18606.0,18606.0,22.0,Large
2025-03-21,BNK001,Premier Bank,103331.16,868,119.05,764,135.25,97.6,5,Friday,3,March,Q1,2025,12,False,36165.91,25832.79,20666.23,20666.23,15.0,Large
2025-03-21,BNK002,Community First Bank,80766.62,673,120.01,423,190.94,96.9,5,Friday,3,March,Q1,2025,12,False,28268.32,20191.66,16153.32,16153.32,20.0,Medium
2025-03-21,BNK003,Metro Financial,121704.21,923,131.86,746,163.14,81.1,5,Friday,3,March,Q1,2025,12,False,42596.47,30426.05,24340.84,24340.84,12.0,Large
2025-03-21,BNK004,Regional Trust Bank,72924.5,725,100.59,611,119.35,98.5,5,Friday,3,March,Q1,2025,12,False,25523.57,18231.12,14584.9,14584.9,25.0,Medium
2025-03-21,BNK005,Digital Banking Corp,144237.53,1061,135.94,843,171.1,97.6,5,Friday,3,March,Q1,2025,12,False,36059.38,36059.38,28847.51,43271.26,18.0,Large
2025-03-21,BNK006,Heritage Bank,66493.11,489,135.98,423,157.19,94.7,5,Friday,3,March,Q1,2025,12,False,23272.59,23272.59,13298.62,6649.31,10.0,Small
2025-03-21,BNK007,Innovation Bank,79677.93,661,120.54,403,197.71,95.7,5,Friday,3,March,Q1,2025,12,False,27887.28,19919.48,15935.59,15935.59,22.0,Large
2025-03-22,BNK001,Premier Bank,57868.63,490,118.1,336,172.23,96.7,6,Saturday,3,March,Q1,2025,12,True,20254.02,14467.16,11573.73,11573.73,15.0,Large
2025-03-22,BNK002,Community First Bank,40752.61,458,88.98,346,117.78,98.2,6,Saturday,3,March,Q1,2025,12,True,14263.41,10188.15,8150.52,8150.52,20.0,Medium
2025-03-22,BNK003,Metro Financial,61056.4,641,95.25,504,121.14,92.7,6,Saturday,3,March,Q1,2025,12,True,21369.74,15264.1,12211.28,12211.28,12.0,Large
2025-03-22,BNK004,Regional Trust Bank,36410.15,308,118.21,243,149.84,97.8,6,Saturday,3,March,Q1,2025,12,True,12743.55,9102.54,7282.03,7282.03,25.0,Medium
2025-03-22,BNK005,Digital Banking Corp,58258.99,392,148.62,295,197.49,94.6,6,Saturday,3,March,Q1,2025,12,True,14564.75,14564.75,11651.8,17477.7,18.0,Large
2025-03-22,BNK006,Heritage Bank,22411.71,202,110.95,125,179.29,92.2,6,Saturday,3,March,Q1,2025,12,True,7844.1,7844.1,4482.34,2241.17,10.0,Small
2025-03-22,BNK007,Innovation Bank,57001.7,386,147.67,328,173.79,97.6,6,Saturday,3,March,Q1,2025,12,True,19950.59,14250.42,11400.34,11400.34,22.0,Large
2025-03-23,BNK001,Premier Bank,24598.67,270,91.11,182,135.16,96.4,7,Sunday,3,March,Q1,2025,12,True,8609.53,6149.67,4919.73,4919.73,15.0,Large
2025-03-23,BNK002,Community First Bank,20994.74,161,130.4,128,164.02,94.2,7,Sunday,3,March,Q1,2025,12,True,7348.16,5248.69,4198.95,4198.95,20.0,Medium
2025-03-23,BNK003,Metro Financial,33875.79,309,109.63,208,162.86,94.8,7,Sunday,3,March,Q1,2025,12,True,11856.53,8468.95,6775.16,6775.16,12.0,Large
2025-03-23,BNK004,Regional Trust Bank,22646.09,170,133.21,102,222.02,92.9,7,Sunday,3,March,Q1,2025,12,True,7926.13,5661.52,4529.22,4529.22,25.0,Medium
2025-03-23,BNK005,Digital Banking Corp,35636.29,314,113.49,197,180.89,95.9,7,Sunday,3,March,Q1,2025,12,True,8909.07,8909.07,7127.26,10690.89,18.0,Large
2025-03-23,BNK006,Heritage Bank,12929.56,114,113.42,74,174.72,95.5,7,Sunday,3,March,Q1,2025,12,True,4525.35,4525.35,2585.91,1292.96,10.0,Small
2025-03-23,BNK007,Innovation Bank,32619.13,262,124.5,160,203.87,95.0,7,Sunday,3,March,Q1,2025,12,True,11416.7,8154.78,6523.83,6523.83,22.0,Large
2025-03-24,BNK001,Premier Bank,78547.88,634,123.89,476,165.02,86.2,1,Monday,3,March,Q1,2025,13,False,27491.76,19636.97,15709.58,15709.58,15.0,Large
2025-03-24,BNK002,Community First Bank,71963.14,594,121.15,523,137.6,96.6,1,Monday,3,March,Q1,2025,13,False,25187.1,17990.78,14392.63,14392.63,20.0,Medium
2025-03-24,BNK003,Metro Financial,90657.68,845,107.29,670,135.31,95.7,1,Monday,3,March,Q1,2025,13,False,31730.19,22664.42,18131.54,18131.54,12.0,Large
2025-03-24,BNK004,Regional Trust Bank,70302.73,656,107.17,582,120.8,99.2,1,Monday,3,March,Q1,2025,13,False,24605.95,17575.68,14060.55,14060.55,25.0,Medium
2025-03-24,BNK005,Digital Banking Corp,111405.25,1188,93.78,737,151.16,92.8,1,Monday,3,March,Q1,2025,13,False,27851.31,27851.31,22281.05,33421.58,18.0,Large
2025-03-24,BNK006,Heritage Bank,38054.27,371,102.57,316,120.42,88.8,1,Monday,3,March,Q1,2025,13,False,13318.99,13318.99,7610.85,3805.43,10.0,Small
2025-03-24,BNK007,Innovation Bank,83653.73,838,99.83,532,157.24,97.6,1,Monday,3,March,Q1,2025,13,False,29278.81,20913.43,16730.75,16730.75,22.0,Large
2025-03-25,BNK001,Premier Bank,113494.0,863,131.51,725,156.54,94.3,2,Tuesday,3,March,Q1,2025,13,False,39722.9,28373.5,22698.8,22698.8,15.0,Large
2025-03-25,BNK002,Community First Bank,79609.49,861,92.46,710,112.13,98.5,2,Tuesday,3,March,Q1,2025,13,False,27863.32,19902.37,15921.9,15921.9,20.0,Medium
2025-03-25,BNK003,Metro Financial,89774.26,846,106.12,704,127.52,94.7,2,Tuesday,3,March,Q1,2025,13,False,31420.99,22443.57,17954.85,17954.85,12.0,Large
2025-03-25,BNK004,Regional Trust Bank,61759.91,425,145.32,364,169.67,87.8,2,Tuesday,3,March,Q1,2025,13,False,21615.97,15439.98,12351.98,12351.98,25.0,Medium
2025-03-25,BNK005,Digital Banking Corp,101923.28,711,143.35,534,190.87,98.6,2,Tuesday,3,March,Q1,2025,13,False,25480.82,25480.82,20384.66,30576.98,18.0,Large
2025-03-25,BNK006,Heritage Bank,41046.49,400,102.62,347,118.29,95.1,2,Tuesday,3,March,Q1,2025,13,False,14366.27,14366.27,8209.3,4104.65,10.0,Small
2025-03-25,BNK007,Innovation Bank,75229.69,513,146.65,454,165.7,96.6,2,Tuesday,3,March,Q1,2025,13,False,26330.39,18807.42,15045.94,15045.94,22.0,Large
2025-03-26,BNK001,Premier Bank,90803.58,730,124.39,536,169.41,94.3,3,Wednesday,3,March,Q1,2025,13,False,31781.25,22700.89,18160.72,18160.72,15.0,Large
2025-03-26,BNK002,Community First Bank,93073.84,701,132.77,587,158.56,98.3,3,Wednesday,3,March,Q1,2025,13,False,32575.85,23268.46,18614.77,18614.77,20.0,Medium
2025-03-26,BNK003,Metro Financial,77076.07,892,86.41,667,115.56,92.5,3,Wednesday,3,March,Q1,2025,13,False,26976.62,19269.02,15415.21,15415.21,12.0,Large
2025-03-26,BNK004,Regional Trust Bank,28649.73,201,142.54,141,203.19,92.9,3,Wednesday,3,March,Q1,2025,13,False,10027.41,7162.43,5729.95,5729.95,25.0,Medium
2025-03-26,BNK005,Digital Banking Corp,145054.54,1611,90.04,1334,108.74,96.9,3,Wednesday,3,March,Q1,2025,13,False,36263.64,36263.64,29010.91,43516.36,18.0,Large
2025-03-26,BNK006,Heritage Bank,38266.79,278,137.65,225,170.07,92.7,3,Wednesday,3,March,Q1,2025,13,False,13393.38,13393.38,7653.36,3826.68,10.0,Small
2025-03-26,BNK007,Innovation Bank,83587.28,972,86.0,870,96.08,95.0,3,Wednesday,3,March,Q1,2025,13,False,29255.55,20896.82,16717.46,16717.46,22.0,Large
2025-03-27,BNK001,Premier Bank,117315.32,801,146.46,717,163.62,98.0,4,Thursday,3,March,Q1,2025,13,False,41060.36,29328.83,23463.06,23463.06,15.0,Large
2025-03-27,BNK002,Community First Bank,67839.27,637,106.5,398,170.45,98.2,4,Thursday,3,March,Q1,2025,13,False,23743.75,16959.82,13567.85,13567.85,20.0,Medium
2025-03-27,BNK003,Metro Financial,67999.58,474,143.46,300,226.67,95.9,4,Thursday,3,March,Q1,2025,13,False,23799.85,16999.89,13599.92,13599.92,12.0,Large
2025-03-27,BNK004,Regional Trust Bank,83550.48,1034,80.8,765,109.22,92.5,4,Thursday,3,March,Q1,2025,13,False,29242.67,20887.62,16710.1,16710.1,25.0,Medium
2025-03-27,BNK005,Digital Banking Corp,135168.54,1118,120.9,993,136.12,95.0,4,Thursday,3,March,Q1,2025,13,False,33792.13,33792.13,27033.71,40550.56,18.0,Large
2025-03-27,BNK006,Heritage Bank,43083.45,430,100.19,370,116.44,93.8,4,Thursday,3,March,Q1,2025,13,False,15079.21,15079.21,8616.69,4308.35,10.0,Small
2025-03-27,BNK007,Innovation Bank,81225.89,543,149.59,337,241.03,96.4,4,Thursday,3,March,Q1,2025,13,False,28429.06,20306.47,16245.18,16245.18,22.0,Large
2025-03-28,BNK001,Premier Bank,137703.08,931,147.91,704,195.6,97.0,5,Friday,3,March,Q1,2025,13,False,48196.08,34425.77,27540.62,27540.62,15.0,Large
2025-03-28,BNK002,Community First Bank,82225.04,663,124.02,514,159.97,99.2,5,Friday,3,March,Q1,2025,13,False,28778.76,20556.26,16445.01,16445.01,20.0,Medium
2025-03-28,BNK003,Metro Financial,132105.17,1588,83.19,1086,121.64,99.6,5,Friday,3,March,Q1,2025,13,False,46236.81,33026.29,26421.03,26421.03,12.0,Large
2025-03-28,BNK004,Regional Trust Bank,70003.23,567,123.46,387,180.89,82.9,5,Friday,3,March,Q1,2025,13,False,24501.13,17500.81,14000.65,14000.65,25.0,Medium
2025-03-28,BNK005,Digital Banking Corp,155197.1,1481,104.79,1147,135.31,92.6,5,Friday,3,March,Q1,2025,13,False,38799.28,38799.28,31039.42,46559.13,18.0,Large
2025-03-28,BNK006,Heritage Bank,49640.43,488,101.72,411,120.78,77.8,5,Friday,3,March,Q1,2025,13,False,17374.15,17374.15,9928.09,4964.04,10.0,Small
2025-03-28,BNK007,Innovation Bank,135624.73,943,143.82,798,169.96,99.6,5,Friday,3,March,Q1,2025,13,False,47468.65,33906.18,27124.95,27124.95,22.0,Large
2025-03-29,BNK001,Premier Bank,66677.67,610,109.31,536,124.4,98.9,6,Saturday,3,March,Q1,2025,13,True,23337.18,16669.42,13335.53,13335.53,15.0,Large
2025-03-29,BNK002,Community First Bank,58289.93,700,83.27,425,137.15,95.0,6,Saturday,3,March,Q1,2025,13,True,20401.47,14572.48,11657.99,11657.99,20.0,Medium
2025-03-29,BNK003,Metro Financial,55914.69,524,106.71,466,119.99,89.3,6,Saturday,3,March,Q1,2025,13,True,19570.14,13978.67,11182.94,11182.94,12.0,Large
2025-03-29,BNK004,Regional Trust Bank,26123.89,231,113.09,167,156.43,94.2,6,Saturday,3,March,Q1,2025,13,True,9143.36,6530.97,5224.78,5224.78,25.0,Medium
2025-03-29,BNK005,Digital Banking Corp,66062.3,493,134.0,435,151.87,98.8,6,Saturday,3,March,Q1,2025,13,True,16515.57,16515.57,13212.46,19818.69,18.0,Large
2025-03-29,BNK006,Heritage Bank,24112.75,247,97.62,181,133.22,91.2,6,Saturday,3,March,Q1,2025,13,True,8439.46,8439.46,4822.55,2411.28,10.0,Small
2025-03-29,BNK007,Innovation Bank,33547.69,264,127.07,207,162.07,94.9,6,Saturday,3,March,Q1,2025,13,True,11741.69,8386.92,6709.54,6709.54,22.0,Large
2025-03-30,BNK001,Premier Bank,32409.71,368,88.07,294,110.24,96.2,7,Sunday,3,March,Q1,2025,13,True,11343.4,8102.43,6481.94,6481.94,15.0,Large
2025-03-30,BNK002,Community First Bank,23016.88,164,140.35,125,184.14,96.5,7,Sunday,3,March,Q1,2025,13,True,8055.91,5754.22,4603.38,4603.38,20.0,Medium
2025-03-30,BNK003,Metro Financial,32026.09,226,141.71,162,197.69,93.1,7,Sunday,3,March,Q1,2025,13,True,11209.13,8006.52,6405.22,6405.22,12.0,Large
2025-03-30,BNK004,Regional Trust Bank,24700.7,260,95.0,166,148.8,92.1,7,Sunday,3,March,Q1,2025,13,True,8645.25,6175.18,4940.14,4940.14,25.0,Medium
2025-03-30,BNK005,Digital Banking Corp,38214.28,365,104.7,283,135.03,95.1,7,Sunday,3,March,Q1,2025,13,True,9553.57,9553.57,7642.86,11464.28,18.0,Large
2025-03-30,BNK006,Heritage Bank,13063.28,125,104.51,94,138.97,98.3,7,Sunday,3,March,Q1,2025,13,True,4572.15,4572.15,2612.66,1306.33,10.0,Small
2025-03-30,BNK007,Innovation Bank,23276.23,216,107.76,169,137.73,98.9,7,Sunday,3,March,Q1,2025,13,True,8146.68,5819.06,4655.25,4655.25,22.0,Large
2025-03-31,BNK001,Premier Bank,99779.23,1017,98.11,750,133.04,99.8,1,Monday,3,March,Q1,2025,14,False,34922.73,24944.81,19955.85,19955.85,15.0,Large
2025-03-31,BNK002,Community First Bank,86946.08,759,114.55,530,164.05,97.1,1,Monday,3,March,Q1,2025,14,False,30431.13,21736.52,17389.22,17389.22,20.0,Medium
2025-03-31,BNK003,Metro Financial,88672.56,996,89.03,635,139.64,93.2,1,Monday,3,March,Q1,2025,14,False,31035.4,22168.14,17734.51,17734.51,12.0,Large
2025-03-31,BNK004,Regional Trust Bank,58870.45,656,89.74,519,113.43,93.5,1,Monday,3,March,Q1,2025,14,False,20604.66,14717.61,11774.09,11774.09,25.0,Medium
2025-03-31,BNK005,Digital Banking Corp,124797.89,1102,113.25,881,141.65,93.4,1,Monday,3,March,Q1,2025,14,False,31199.47,31199.47,24959.58,37439.37,18.0,Large
2025-03-31,BNK006,Heritage Bank,38837.23,415,93.58,254,152.9,93.4,1,Monday,3,March,Q1,2025,14,False,13593.03,13593.03,7767.45,3883.72,10.0,Small
2025-03-31,BNK007,Innovation Bank,65647.22,761,86.26,484,135.63,95.7,1,Monday,3,March,Q1,2025,14,False,22976.53,16411.8,13129.44,13129.44,22.0,Large
2025-04-01,BNK001,Premier Bank,91614.62,970,94.45,688,133.16,96.0,2,Tuesday,4,April,Q2,2025,14,False,32065.12,22903.65,18322.92,18322.92,15.0,Large
2025-04-01,BNK002,Community First Bank,73470.76,540,136.06,425,172.87,92.7,2,Tuesday,4,April,Q2,2025,14,False,25714.77,18367.69,14694.15,14694.15,20.0,Medium
2025-04-01,BNK003,Metro Financial,90455.05,640,141.34,560,161.53,92.5,2,Tuesday,4,April,Q2,2025,14,False,31659.27,22613.76,18091.01,18091.01,12.0,Large
2025-04-01,BNK004,Regional Trust Bank,72770.31,549,132.55,359,202.7,93.7,2,Tuesday,4,April,Q2,2025,14,False,25469.61,18192.58,14554.06,14554.06,25.0,Medium
2025-04-01,BNK005,Digital Banking Corp,97716.8,922,105.98,687,142.24,96.9,2,Tuesday,4,April,Q2,2025,14,False,24429.2,24429.2,19543.36,29315.04,18.0,Large
2025-04-01,BNK006,Heritage Bank,37493.9,283,132.49,172,217.99,94.0,2,Tuesday,4,April,Q2,2025,14,False,13122.87,13122.87,7498.78,3749.39,10.0,Small
2025-04-01,BNK007,Innovation Bank,41418.51,318,130.25,276,150.07,96.1,2,Tuesday,4,April,Q2,2025,14,False,14496.48,10354.63,8283.7,8283.7,22.0,Large
2025-04-02,BNK001,Premier Bank,85415.97,767,111.36,582,146.76,93.9,3,Wednesday,4,April,Q2,2025,14,False,29895.59,21353.99,17083.19,17083.19,15.0,Large
2025-04-02,BNK002,Community First Bank,76192.24,770,98.95,549,138.78,92.2,3,Wednesday,4,April,Q2,2025,14,False,26667.28,19048.06,15238.45,15238.45,20.0,Medium
2025-04-02,BNK003,Metro Financial,78538.36,763,102.93,485,161.93,99.1,3,Wednesday,4,April,Q2,2025,14,False,27488.43,19634.59,15707.67,15707.67,12.0,Large
2025-04-02,BNK004,Regional Trust Bank,50184.4,412,121.81,331,151.61,98.3,3,Wednesday,4,April,Q2,2025,14,False,17564.54,12546.1,10036.88,10036.88,25.0,Medium
2025-04-02,BNK005,Digital Banking Corp,92695.31,788,117.63,611,151.71,82.3,3,Wednesday,4,April,Q2,2025,14,False,23173.83,23173.83,18539.06,27808.59,18.0,Large
2025-04-02,BNK006,Heritage Bank,39986.82,449,89.06,307,130.25,94.9,3,Wednesday,4,April,Q2,2025,14,False,13995.39,13995.39,7997.36,3998.68,10.0,Small
2025-04-02,BNK007,Innovation Bank,96300.72,917,105.02,821,117.3,96.8,3,Wednesday,4,April,Q2,2025,14,False,33705.25,24075.18,19260.14,19260.14,22.0,Large
2025-04-03,BNK001,Premier Bank,128641.25,1331,96.65,839,153.33,93.2,4,Thursday,4,April,Q2,2025,14,False,45024.44,32160.31,25728.25,25728.25,15.0,Large
2025-04-03,BNK002,Community First Bank,65240.36,701,93.07,480,135.92,93.4,4,Thursday,4,April,Q2,2025,14,False,22834.13,16310.09,13048.07,13048.07,20.0,Medium
2025-04-03,BNK003,Metro Financial,84739.05,593,142.9,370,229.02,96.2,4,Thursday,4,April,Q2,2025,14,False,29658.67,21184.76,16947.81,16947.81,12.0,Large
2025-04-03,BNK004,Regional Trust Bank,64056.85,729,87.87,524,122.25,99.8,4,Thursday,4,April,Q2,2025,14,False,22419.9,16014.21,12811.37,12811.37,25.0,Medium
