transaction_date,bank_id,bank_name,high_value_customers,medium_value_customers,regular_customers,high_value_volume,medium_value_volume,regular_value_volume,avg_high_value,avg_medium_value,avg_regular_value,customer_retention_rate,new_customers
2025-03-15,BNK007,Innovation Bank,60,141,204,34964.69,14568.62,8741.17,582.74,103.32,42.85,94.6,31
2025-03-16,BNK001,Premier Bank,31,73,105,20148.11,8395.05,5037.03,649.94,115.0,47.97,93.3,17
2025-03-16,BNK002,Community First Bank,18,42,61,9669.37,4028.91,2417.34,537.19,95.93,39.63,98.0,9
2025-03-16,BNK003,Metro Financial,22,53,77,18226.6,7594.42,4556.65,828.48,143.29,59.18,88.6,21
2025-03-16,BNK004,Regional Trust Bank,18,42,60,12153.91,5064.13,3038.48,675.22,120.57,50.64,85.3,14
2025-03-16,BNK005,Digital Banking Corp,31,74,107,23927.78,9969.91,5981.94,771.86,134.73,55.91,94.4,28
2025-03-16,BNK006,Heritage Bank,13,30,45,6977.31,2907.21,1744.33,536.72,96.91,38.76,97.7,12
2025-03-16,BNK007,Innovation Bank,25,59,87,16532.46,6888.52,4133.11,661.3,116.75,47.51,85.8,22
2025-03-17,BNK001,Premier Bank,60,140,200,36103.42,15043.09,9025.85,601.72,107.45,45.13,93.4,45
2025-03-17,BNK002,Community First Bank,57,133,192,48109.66,20045.69,12027.42,844.03,150.72,62.64,86.7,43
2025-03-17,BNK003,Metro Financial,71,167,241,47888.99,19953.75,11972.25,674.49,119.48,49.68,97.8,67
2025-03-17,BNK004,Regional Trust Bank,73,170,244,48635.63,20264.85,12158.91,666.24,119.2,49.83,90.7,26
2025-03-17,BNK005,Digital Banking Corp,89,209,300,67215.89,28006.62,16803.97,755.23,134.0,56.01,89.7,79
2025-03-17,BNK006,Heritage Bank,26,62,90,22961.74,9567.39,5740.43,883.14,154.31,63.78,94.1,17
2025-03-17,BNK007,Innovation Bank,106,248,356,51588.51,21495.21,12897.13,486.68,86.67,36.23,85.7,65
2025-03-18,BNK001,Premier Bank,126,295,424,59933.58,24972.33,14983.4,475.66,84.65,35.34,91.1,120
2025-03-18,BNK002,Community First Bank,123,288,414,50281.72,20950.72,12570.43,408.79,72.75,30.36,93.3,66
2025-03-18,BNK003,Metro Financial,112,261,374,68194.15,28414.23,17048.54,608.88,108.87,45.58,91.8,42
2025-03-18,BNK004,Regional Trust Bank,28,66,97,22044.03,9185.01,5511.01,787.29,139.17,56.81,97.6,16
2025-03-18,BNK005,Digital Banking Corp,73,171,245,66814.53,27839.39,16703.63,915.27,162.8,68.18,91.2,41
2025-03-18,BNK006,Heritage Bank,38,89,130,23143.81,9643.25,5785.95,609.05,108.35,44.51,93.9,29
2025-03-18,BNK007,Innovation Bank,77,180,258,53872.64,22446.94,13468.16,699.64,124.71,52.2,94.3,39
2025-03-19,BNK001,Premier Bank,91,214,308,47039.63,19599.85,11759.91,516.92,91.59,38.18,89.1,38
2025-03-19,BNK002,Community First Bank,81,190,273,55716.55,23215.23,13929.14,687.86,122.19,51.02,93.5,29
2025-03-19,BNK003,Metro Financial,108,252,362,55466.35,23110.98,13866.59,513.58,91.71,38.31,92.8,98
2025-03-19,BNK004,Regional Trust Bank,87,205,294,43626.61,18177.76,10906.65,501.46,88.67,37.1,96.6,55
2025-03-19,BNK005,Digital Banking Corp,166,388,557,78466.25,32694.27,19616.56,472.69,84.26,35.22,91.0,64
2025-03-19,BNK006,Heritage Bank,54,126,182,27180.25,11325.1,6795.06,503.34,89.88,37.34,93.7,47
2025-03-19,BNK007,Innovation Bank,68,160,230,52482.58,21867.74,13120.64,771.8,136.67,57.05,88.2,42
2025-03-20,BNK001,Premier Bank,116,272,390,68464.82,28527.01,17116.2,590.21,104.88,43.89,95.9,107
2025-03-20,BNK002,Community First Bank,89,208,298,52908.06,22045.03,13227.02,594.47,105.99,44.39,88.2,62
2025-03-20,BNK003,Metro Financial,81,189,272,52447.43,21853.1,13111.86,647.5,115.62,48.21,87.5,32
2025-03-20,BNK004,Regional Trust Bank,66,154,222,27332.86,11388.69,6833.22,414.13,73.95,30.78,96.8,58
2025-03-20,BNK005,Digital Banking Corp,117,274,394,77608.9,32337.04,19402.22,663.32,118.02,49.24,94.9,43
2025-03-20,BNK006,Heritage Bank,35,82,120,23702.08,9875.87,5925.52,677.2,120.44,49.38,96.0,22
2025-03-20,BNK007,Innovation Bank,99,231,331,55818.0,23257.5,13954.5,563.82,100.68,42.16,89.5,69
2025-03-21,BNK001,Premier Bank,114,267,383,61998.7,25832.79,15499.67,543.85,96.75,40.47,86.2,96
2025-03-21,BNK002,Community First Bank,63,148,212,48459.97,20191.65,12114.99,769.21,136.43,57.15,92.6,29
2025-03-21,BNK003,Metro Financial,111,261,374,73022.53,30426.05,18255.63,657.86,116.57,48.81,87.4,51
2025-03-21,BNK004,Regional Trust Bank,91,213,307,43754.7,18231.12,10938.67,480.82,85.59,35.63,85.7,66
2025-03-21,BNK005,Digital Banking Corp,126,295,422,86542.52,36059.38,21635.63,686.85,122.24,51.27,95.9,43
2025-03-21,BNK006,Heritage Bank,63,148,212,39895.87,16623.28,9973.97,633.27,112.32,47.05,85.6,45
2025-03-21,BNK007,Innovation Bank,60,141,202,47806.76,19919.48,11951.69,796.78,141.27,59.17,95.7,33
2025-03-22,BNK001,Premier Bank,50,117,169,34721.18,14467.16,8680.29,694.42,123.65,51.36,89.5,36
2025-03-22,BNK002,Community First Bank,51,121,174,24451.57,10188.15,6112.89,479.44,84.2,35.13,88.6,18
2025-03-22,BNK003,Metro Financial,75,176,253,36633.84,15264.1,9158.46,488.45,86.73,36.2,94.6,56
2025-03-22,BNK004,Regional Trust Bank,36,85,122,21846.09,9102.54,5461.52,606.84,107.09,44.77,92.5,30
2025-03-22,BNK005,Digital Banking Corp,44,103,148,34955.39,14564.75,8738.85,794.44,141.41,59.05,93.8,20
2025-03-22,BNK006,Heritage Bank,18,43,64,13447.03,5602.93,3361.76,747.06,130.3,52.53,89.6,7
2025-03-22,BNK007,Innovation Bank,49,114,165,34201.02,14250.42,8550.25,697.98,125.0,51.82,86.7,38
2025-03-23,BNK001,Premier Bank,27,63,92,14759.2,6149.67,3689.8,546.64,97.61,40.11,96.2,26
2025-03-23,BNK002,Community First Bank,19,44,65,12596.84,5248.69,3149.21,662.99,119.29,48.45,93.2,8
2025-03-23,BNK003,Metro Financial,31,72,105,20325.47,8468.95,5081.37,655.66,117.62,48.39,86.4,27
2025-03-23,BNK004,Regional Trust Bank,15,35,52,13587.65,5661.52,3396.91,905.84,161.76,65.33,92.5,11
2025-03-23,BNK005,Digital Banking Corp,29,68,100,21381.77,8909.07,5345.44,737.3,131.02,53.45,95.2,23
2025-03-23,BNK006,Heritage Bank,11,25,38,7757.74,3232.39,1939.43,705.25,129.3,51.04,95.8,4
2025-03-23,BNK007,Innovation Bank,24,56,80,19571.48,8154.78,4892.87,815.48,145.62,61.16,94.7,21
2025-03-24,BNK001,Premier Bank,71,166,239,47128.73,19636.97,11782.18,663.78,118.3,49.3,88.7,54
2025-03-24,BNK002,Community First Bank,78,183,262,43177.88,17990.78,10794.47,553.56,98.31,41.2,89.1,76
2025-03-24,BNK003,Metro Financial,100,234,336,54394.61,22664.42,13598.65,543.95,96.86,40.47,85.4,72
2025-03-24,BNK004,Regional Trust Bank,87,203,292,42181.64,17575.68,10545.41,484.85,86.58,36.11,87.2,70
2025-03-24,BNK005,Digital Banking Corp,110,257,370,66843.15,27851.31,16710.79,607.66,108.37,45.16,87.3,54
2025-03-24,BNK006,Heritage Bank,47,110,159,22832.56,9513.57,5708.14,485.8,86.49,35.9,91.4,44
2025-03-24,BNK007,Innovation Bank,79,186,267,50192.24,20913.43,12548.06,635.34,112.44,47.0,87.8,34
2025-03-25,BNK001,Premier Bank,108,253,364,68096.4,28373.5,17024.1,630.52,112.15,46.77,94.9,72
2025-03-25,BNK002,Community First Bank,106,248,356,47765.69,19902.37,11941.42,450.62,80.25,33.54,96.9,45
2025-03-25,BNK003,Metro Financial,105,246,353,53864.56,22443.56,13466.14,513.0,91.23,38.15,93.4,51
2025-03-25,BNK004,Regional Trust Bank,54,127,183,37055.95,15439.98,9263.99,686.22,121.57,50.62,87.0,43
2025-03-25,BNK005,Digital Banking Corp,80,186,268,61153.97,25480.82,15288.49,764.42,136.99,57.05,92.7,67
2025-03-25,BNK006,Heritage Bank,52,121,174,24627.89,10261.62,6156.97,473.61,84.81,35.38,89.0,32
2025-03-25,BNK007,Innovation Bank,68,158,228,45137.81,18807.42,11284.45,663.79,119.03,49.49,90.3,67
2025-03-26,BNK001,Premier Bank,80,187,269,54482.15,22700.9,13620.54,681.03,121.4,50.63,88.8,42
2025-03-26,BNK002,Community First Bank,88,205,294,55844.3,23268.46,13961.08,634.59,113.5,47.49,89.6,62
2025-03-26,BNK003,Metro Financial,100,233,334,46245.64,19269.02,11561.41,462.46,82.7,34.62,88.3,94
2025-03-26,BNK004,Regional Trust Bank,21,49,71,17189.84,7162.43,4297.46,818.56,146.17,60.53,88.5,19
2025-03-26,BNK005,Digital Banking Corp,200,466,668,87032.72,36263.64,21758.18,435.16,77.82,32.57,86.3,154
2025-03-26,BNK006,Heritage Bank,33,78,114,22960.07,9566.7,5740.02,695.76,122.65,50.35,96.8,15
2025-03-26,BNK007,Innovation Bank,130,304,436,50152.37,20896.82,12538.09,385.79,68.74,28.76,97.6,82
2025-03-27,BNK001,Premier Bank,107,250,360,70389.19,29328.83,17597.3,657.84,117.32,48.88,97.3,84
2025-03-27,BNK002,Community First Bank,59,139,200,40703.56,16959.82,10175.89,689.89,122.01,50.88,88.9,27
2025-03-27,BNK003,Metro Financial,45,105,150,40799.75,16999.9,10199.94,906.66,161.9,68.0,88.9,17
2025-03-27,BNK004,Regional Trust Bank,114,267,384,50130.29,20887.62,12532.57,439.74,78.23,32.64,86.9,46
2025-03-27,BNK005,Digital Banking Corp,148,347,498,81101.12,33792.14,20275.28,547.98,97.38,40.71,90.5,128
2025-03-27,BNK006,Heritage Bank,55,129,186,25850.07,10770.86,6462.52,470.0,83.5,34.74,86.8,23
2025-03-27,BNK007,Innovation Bank,50,117,170,48735.53,20306.47,12183.88,974.71,173.56,71.67,93.4,23
2025-03-28,BNK001,Premier Bank,105,246,353,82621.85,34425.77,20655.46,786.87,139.94,58.51,86.3,46
2025-03-28,BNK002,Community First Bank,77,179,258,49335.02,20556.26,12333.76,640.71,114.84,47.81,97.0,67
2025-03-28,BNK003,Metro Financial,162,380,544,79263.1,33026.29,19815.78,489.28,86.91,36.43,89.6,125
2025-03-28,BNK004,Regional Trust Bank,58,135,194,42001.94,17500.81,10500.48,724.17,129.64,54.13,92.0,45
2025-03-28,BNK005,Digital Banking Corp,172,401,574,93118.26,38799.28,23279.56,541.39,96.76,40.56,93.9,129
2025-03-28,BNK006,Heritage Bank,61,143,207,29784.26,12410.11,7446.06,488.27,86.78,35.97,88.5,22
2025-03-28,BNK007,Innovation Bank,119,279,400,81374.84,33906.18,20343.71,683.82,121.53,50.86,90.9,110
2025-03-29,BNK001,Premier Bank,80,187,269,40006.6,16669.42,10001.65,500.08,89.14,37.18,92.4,71
2025-03-29,BNK002,Community First Bank,63,148,214,34973.96,14572.48,8743.49,555.14,98.46,40.86,97.9,28
2025-03-29,BNK003,Metro Financial,69,163,234,33548.81,13978.67,8387.2,486.21,85.76,35.84,94.0,54
2025-03-29,BNK004,Regional Trust Bank,25,58,84,15674.33,6530.97,3918.58,626.97,112.6,46.65,97.7,24
2025-03-29,BNK005,Digital Banking Corp,65,152,218,39637.38,16515.58,9909.34,609.81,108.66,45.46,93.9,32
2025-03-29,BNK006,Heritage Bank,27,63,91,14467.65,6028.19,3616.91,535.84,95.69,39.75,95.4,10
2025-03-29,BNK007,Innovation Bank,31,72,104,20128.61,8386.92,5032.15,649.31,116.49,48.39,95.1,29
2025-03-30,BNK001,Premier Bank,44,102,148,19445.83,8102.43,4861.46,441.95,79.44,32.85,90.0,33
2025-03-30,BNK002,Community First Bank,18,43,64,13810.13,5754.22,3452.53,767.23,133.82,53.95,90.6,11
2025-03-30,BNK003,Metro Financial,24,56,82,19215.65,8006.52,4803.91,800.65,142.97,58.58,89.0,20
2025-03-30,BNK004,Regional Trust Bank,24,58,84,14820.42,6175.18,3705.11,617.52,106.47,44.11,97.2,23
2025-03-30,BNK005,Digital Banking Corp,42,99,142,22928.57,9553.57,5732.14,545.92,96.5,40.37,87.3,38
2025-03-30,BNK006,Heritage Bank,14,32,48,7837.97,3265.82,1959.49,559.85,102.06,40.82,94.6,7
2025-03-30,BNK007,Innovation Bank,25,59,85,13965.74,5819.06,3491.43,558.63,98.63,41.08,85.9,12
2025-03-31,BNK001,Premier Bank,112,262,376,59867.54,24944.81,14966.88,534.53,95.21,39.81,96.9,84
2025-03-31,BNK002,Community First Bank,79,185,266,52167.65,21736.52,13041.91,660.35,117.49,49.03,94.4,40
2025-03-31,BNK003,Metro Financial,95,222,318,53203.54,22168.14,13300.88,560.04,99.86,41.83,94.4,33
2025-03-31,BNK004,Regional Trust Bank,77,181,261,35322.27,14717.61,8830.57,458.73,81.31,33.83,89.9,58
2025-03-31,BNK005,Digital Banking Corp,132,308,441,74878.73,31199.47,18719.68,567.26,101.3,42.45,86.9,116
2025-03-31,BNK006,Heritage Bank,38,88,128,23302.34,9709.31,5825.58,613.22,110.33,45.51,88.1,29
2025-03-31,BNK007,Innovation Bank,72,169,243,39388.33,16411.81,9847.08,547.06,97.11,40.52,90.3,53
2025-04-01,BNK001,Premier Bank,103,240,345,54968.77,22903.65,13742.19,533.68,95.43,39.83,86.4,35
2025-04-01,BNK002,Community First Bank,63,148,214,44082.46,18367.69,11020.61,699.72,124.11,51.5,96.8,32
2025-04-01,BNK003,Metro Financial,84,196,280,54273.03,22613.76,13568.26,646.11,115.38,48.46,95.7,83
2025-04-01,BNK004,Regional Trust Bank,53,125,181,43662.19,18192.58,10915.55,823.81,145.54,60.31,87.7,27
2025-04-01,BNK005,Digital Banking Corp,103,240,344,58630.08,24429.2,14657.52,569.22,101.79,42.61,93.6,100
2025-04-01,BNK006,Heritage Bank,25,60,87,22496.34,9373.48,5624.09,899.85,156.22,64.64,96.9,17
2025-04-01,BNK007,Innovation Bank,41,96,139,24851.11,10354.63,6212.78,606.12,107.86,44.7,95.3,17
2025-04-02,BNK001,Premier Bank,87,203,292,51249.58,21353.99,12812.4,589.08,105.19,43.88,97.7,85
2025-04-02,BNK002,Community First Bank,82,192,275,45715.34,19048.06,11428.84,557.5,99.21,41.56,87.1,43
2025-04-02,BNK003,Metro Financial,72,169,244,47123.02,19634.59,11780.75,654.49,116.18,48.28,86.3,37
2025-04-02,BNK004,Regional Trust Bank,49,115,167,30110.64,12546.1,7527.66,614.5,109.1,45.08,95.6,29
2025-04-02,BNK005,Digital Banking Corp,91,213,307,55617.19,23173.83,13904.3,611.18,108.8,45.29,86.1,51
2025-04-02,BNK006,Heritage Bank,46,107,154,23992.09,9996.7,5998.02,521.57,93.43,38.95,97.8,34
2025-04-02,BNK007,Innovation Bank,123,287,411,57780.43,24075.18,14445.11,469.76,83.89,35.15,90.4,54
2025-04-03,BNK001,Premier Bank,125,293,421,77184.75,32160.31,19296.19,617.48,109.76,45.83,97.8,110
2025-04-03,BNK002,Community First Bank,72,168,240,39144.22,16310.09,9786.05,543.67,97.08,40.78,88.7,27
2025-04-03,BNK003,Metro Financial,55,129,186,50843.43,21184.76,12710.86,924.43,164.22,68.34,85.7,22
2025-04-03,BNK004,Regional Trust Bank,78,183,263,38434.11,16014.21,9608.53,492.75,87.51,36.53,92.5,74
2025-04-03,BNK005,Digital Banking Corp,98,228,328,65403.17,27251.32,16350.79,667.38,119.52,49.85,91.5,87
2025-04-03,BNK006,Heritage Bank,33,77,111,25202.2,10500.92,6300.55,763.7,136.38,56.76,90.8,26
2025-04-03,BNK007,Innovation Bank,78,183,262,37677.02,15698.76,9419.25,483.04,85.79,35.95,94.5,35
2025-04-04,BNK001,Premier Bank,92,216,310,63756.8,26565.33,15939.2,693.01,122.99,51.42,89.7,70
2025-04-04,BNK002,Community First Bank,48,112,161,34507.27,14378.03,8626.82,718.9,128.38,53.58,85.9,27
2025-04-04,BNK003,Metro Financial,84,196,281,64286.17,26785.9,16071.54,765.31,136.66,57.19,92.0,83
2025-04-04,BNK004,Regional Trust Bank,52,121,174,30121.03,12550.43,7530.26,579.25,103.72,43.28,91.2,45
2025-04-04,BNK005,Digital Banking Corp,192,448,641,93545.71,38977.38,23386.43,487.22,87.0,36.48,90.6,166
2025-04-04,BNK006,Heritage Bank,41,96,138,27138.55,11307.73,6784.64,661.92,117.79,49.16,92.7,38
2025-04-04,BNK007,Innovation Bank,104,243,349,64912.66,27046.94,16228.16,624.16,111.3,46.5,90.3,76
2025-04-05,BNK001,Premier Bank,39,91,131,34903.55,14543.15,8725.89,894.96,159.81,66.61,93.2,23
2025-04-05,BNK002,Community First Bank,34,79,114,29635.44,12348.1,7408.86,871.63,156.31,64.99,86.9,13
2025-04-05,BNK003,Metro Financial,66,154,222,38543.56,16059.82,9635.89,583.99,104.28,43.4,85.2,60
2025-04-05,BNK004,Regional Trust Bank,37,86,124,24534.81,10222.84,6133.7,663.1,118.87,49.47,88.1,17
2025-04-05,BNK005,Digital Banking Corp,92,215,308,46976.92,19573.72,11744.23,510.62,91.04,38.13,94.6,50
2025-04-05,BNK006,Heritage Bank,27,63,92,13425.97,5594.15,3356.49,497.26,88.8,36.48,91.6,12
2025-04-05,BNK007,Innovation Bank,33,77,110,14668.63,6111.93,3667.16,444.5,79.38,33.34,97.5,29
2025-04-06,BNK001,Premier Bank,26,60,88,20409.51,8503.96,5102.38,784.98,141.73,57.98,96.2,15
2025-04-06,BNK002,Community First Bank,19,45,65,13758.17,5732.57,3439.54,724.11,127.39,52.92,94.9,8
2025-04-06,BNK003,Metro Financial,31,73,107,17190.23,7162.6,4297.56,554.52,98.12,40.16,85.1,10
2025-04-06,BNK004,Regional Trust Bank,27,62,91,14167.78,5903.24,3541.95,524.73,95.21,38.92,92.6,17
2025-04-06,BNK005,Digital Banking Corp,31,72,104,25180.82,10492.01,6295.21,812.28,145.72,60.53,91.7,10
2025-04-06,BNK006,Heritage Bank,8,19,29,7489.46,3120.61,1872.37,936.18,164.24,64.56,90.5,6
2025-04-06,BNK007,Innovation Bank,27,64,92,12992.48,5413.53,3248.12,481.2,84.59,35.31,90.8,22
2025-04-07,BNK001,Premier Bank,102,239,342,63395.71,26414.88,15848.93,621.53,110.52,46.34,88.0,89
2025-04-07,BNK002,Community First Bank,89,208,298,38035.9,15848.29,9508.97,427.37,76.19,31.91,92.6,42
2025-04-07,BNK003,Metro Financial,78,182,262,45934.64,19139.43,11483.66,588.91,105.16,43.83,88.1,58
2025-04-07,BNK004,Regional Trust Bank,65,152,218,38519.72,16049.88,9629.93,592.61,105.59,44.17,95.8,39
2025-04-07,BNK005,Digital Banking Corp,81,191,274,52629.19,21928.83,13157.3,649.74,114.81,48.02,88.4,74
2025-04-07,BNK006,Heritage Bank,31,72,105,25154.42,10481.01,6288.61,811.43,145.57,59.89,93.7,19
2025-04-07,BNK007,Innovation Bank,74,174,250,50364.22,20985.09,12591.05,680.6,120.6,50.36,91.3,35
2025-04-08,BNK001,Premier Bank,150,351,502,59187.95,24661.65,14796.99,394.59,70.26,29.48,93.1,86
2025-04-08,BNK002,Community First Bank,128,299,429,52029.66,21679.03,13007.42,406.48,72.51,30.32,97.9,83
2025-04-08,BNK003,Metro Financial,100,234,336,70450.72,29354.47,17612.68,704.51,125.45,52.42,91.3,71
2025-04-08,BNK004,Regional Trust Bank,44,104,151,40715.57,16964.82,10178.89,925.35,163.12,67.41,96.9,38
2025-04-08,BNK005,Digital Banking Corp,92,216,310,76124.69,31718.62,19031.17,827.44,146.85,61.39,90.9,75
2025-04-08,BNK006,Heritage Bank,25,59,87,18430.23,7679.26,4607.56,737.21,130.16,52.96,92.6,16
2025-04-08,BNK007,Innovation Bank,73,170,244,36115.58,15048.16,9028.89,494.73,88.52,37.0,87.5,46
2025-04-09,BNK001,Premier Bank,72,168,240,58658.67,24441.11,14664.67,814.7,145.48,61.1,88.2,67
2025-04-09,BNK002,Community First Bank,39,91,131,35845.27,14935.53,8961.32,919.11,164.13,68.41,89.4,37
2025-04-09,BNK003,Metro Financial,149,349,500,57348.02,23895.01,14337.0,384.89,68.47,28.67,91.9,112
2025-04-09,BNK004,Regional Trust Bank,37,87,125,29901.91,12459.13,7475.48,808.16,143.21,59.8,92.1,15
2025-04-09,BNK005,Digital Banking Corp,117,275,394,67773.52,28238.97,16943.38,579.26,102.69,43.0,89.9,47
2025-04-09,BNK006,Heritage Bank,74,172,248,30167.83,12569.93,7541.96,407.67,73.08,30.41,93.1,46
2025-04-09,BNK007,Innovation Bank,56,132,191,36308.98,15128.74,9077.24,648.37,114.61,47.52,95.1,27
2025-04-10,BNK001,Premier Bank,114,266,381,49402.24,20584.27,12350.56,433.35,77.38,32.42,87.1,68
2025-04-10,BNK002,Community First Bank,75,175,250,46833.32,19513.88,11708.33,624.44,111.51,46.83,97.0,60
2025-04-10,BNK003,Metro Financial,115,269,386,51654.95,21522.9,12913.74,449.17,80.01,33.46,90.4,78
2025-04-10,BNK004,Regional Trust Bank,71,167,241,35373.69,14739.04,8843.42,498.22,88.26,36.69,86.1,71
2025-04-10,BNK005,Digital Banking Corp,144,336,482,67173.1,27988.79,16793.28,466.48,83.3,34.84,93.7,75
2025-04-10,BNK006,Heritage Bank,45,106,153,23687.17,9869.66,5921.79,526.38,93.11,38.7,92.6,18
2025-04-10,BNK007,Innovation Bank,57,134,192,44188.2,18411.75,11047.05,775.23,137.4,57.54,97.6,25
2025-04-11,BNK001,Premier Bank,89,208,298,84520.76,35216.99,21130.19,949.67,169.31,70.91,93.4,44
2025-04-11,BNK002,Community First Bank,113,265,381,57522.23,23967.6,14380.56,509.05,90.44,37.74,94.3,96
2025-04-11,BNK003,Metro Financial,89,209,300,55071.34,22946.39,13767.84,618.78,109.79,45.89,93.8,66
2025-04-11,BNK004,Regional Trust Bank,38,89,129,26388.4,10995.17,6597.1,694.43,123.54,51.14,96.6,14
2025-04-11,BNK005,Digital Banking Corp,136,318,457,87839.28,36599.7,21959.82,645.88,115.09,48.05,89.3,68
2025-04-11,BNK006,Heritage Bank,36,84,120,27230.63,11346.1,6807.66,756.41,135.07,56.73,97.8,21
2025-04-11,BNK007,Innovation Bank,83,195,280,62657.85,26107.44,15664.46,754.91,133.88,55.94,94.5,66
2025-04-12,BNK001,Premier Bank,51,119,171,37662.13,15692.56,9415.53,738.47,131.87,55.06,87.8,25
2025-04-12,BNK002,Community First Bank,28,66,96,17765.09,7402.12,4441.27,634.47,112.15,46.26,88.7,17
2025-04-12,BNK003,Metro Financial,81,189,272,30301.42,12625.59,7575.35,374.09,66.8,27.85,88.0,28
2025-04-12,BNK004,Regional Trust Bank,24,57,82,17397.16,7248.81,4349.29,724.88,127.17,53.04,96.4,23
2025-04-12,BNK005,Digital Banking Corp,74,174,251,46935.82,19556.59,11733.96,634.27,112.39,46.75,89.4,41
2025-04-12,BNK006,Heritage Bank,22,52,76,15080.54,6283.56,3770.13,685.48,120.84,49.61,85.1,17
2025-04-12,BNK007,Innovation Bank,93,217,310,39352.45,16396.85,9838.11,423.14,75.56,31.74,95.7,40
2025-04-13,BNK001,Premier Bank,36,85,123,20738.8,8641.17,5184.7,576.08,101.66,42.15,87.1,31
2025-04-13,BNK002,Community First Bank,33,78,114,14897.68,6207.37,3724.42,451.44,79.58,32.67,93.0,12
2025-04-13,BNK003,Metro Financial,23,54,80,14789.15,6162.15,3697.29,643.01,114.11,46.22,93.1,12
2025-04-13,BNK004,Regional Trust Bank,12,29,42,8165.14,3402.14,2041.29,680.43,117.32,48.6,89.8,10
2025-04-13,BNK005,Digital Banking Corp,29,69,100,23555.18,9814.66,5888.79,812.25,142.24,58.89,95.5,17
2025-04-13,BNK006,Heritage Bank,16,39,58,7637.45,3182.27,1909.36,477.34,81.6,32.92,97.3,10
2025-04-13,BNK007,Innovation Bank,19,44,65,9587.24,3994.68,2396.81,504.59,90.79,36.87,95.0,12
2025-04-14,BNK001,Premier Bank,108,252,361,61618.61,25674.42,15404.65,570.54,101.88,42.67,96.7,101
2025-04-14,BNK002,Community First Bank,91,212,305,41986.33,17494.31,10496.58,461.39,82.52,34.42,86.1,87
2025-04-14,BNK003,Metro Financial,68,159,229,46951.18,19562.99,11737.8,690.46,123.04,51.26,95.7,58
2025-04-14,BNK004,Regional Trust Bank,49,114,165,44365.34,18485.56,11091.34,905.42,162.15,67.22,87.6,42
2025-04-14,BNK005,Digital Banking Corp,91,214,307,50326.15,20969.23,12581.54,553.03,97.99,40.98,96.1,48
2025-04-14,BNK006,Heritage Bank,34,79,115,23457.01,9773.75,5864.25,689.91,123.72,50.99,97.4,12
2025-04-14,BNK007,Innovation Bank,62,146,211,43208.46,18003.53,10802.11,696.91,123.31,51.19,86.9,43
2025-04-15,BNK001,Premier Bank,68,160,230,65696.47,27373.53,16424.12,966.12,171.08,71.41,92.5,52
2025-04-15,BNK002,Community First Bank,128,299,429,52366.36,21819.32,13091.59,409.11,72.97,30.52,85.2,125
