transaction_date,bank_id,bank_name,total_volume,transaction_count,avg_transaction_value,unique_customers,avg_value_per_customer,data_quality_score,day_of_week,day_name,month,month_name,quarter,year,week_number,is_weekend,transfer_volume,deposit_volume,withdrawal_volume,payment_volume,volatility_score,market_segment,volume_7day_avg,volume_7day_std,anomaly_status,z_score
2025-03-16,BNK003,Metro Financial,30377.67,228,133.24,152,199.85,79.9,7,Sunday,3,March,Q1,2025,11,True,10632.19,7594.42,6075.53,6075.53,12.0,Large,70172.18,32322.05584956192,Normal,1.23118746484498
2025-03-16,BNK004,Regional Trust Bank,20256.52,143,141.65,120,168.8,93.5,7,Sunday,3,March,Q1,2025,11,True,7089.78,5064.13,4051.3,4051.3,25.0,Medium,59692.53,43704.892844152666,Normal,0.9023248298680177
2025-03-16,BNK005,Digital Banking Corp,39879.63,279,142.94,212,188.11,98.5,7,Sunday,3,March,Q1,2025,11,True,9969.91,9969.91,7975.93,11963.89,18.0,Large,91413.435,52501.87473554984,Normal,0.9815612349001636
2025-03-16,BNK006,Heritage Bank,11628.85,132,88.1,88,132.15,95.4,7,Sunday,3,March,Q1,2025,11,True,4070.1,4070.1,2325.77,1162.89,10.0,Small,29779.7975,15703.976063552345,Normal,1.1558185918359158
2025-03-16,BNK007,Innovation Bank,27554.1,200,137.77,171,161.14,92.1,7,Sunday,3,March,Q1,2025,11,True,9643.94,6888.53,5510.82,5510.82,22.0,Large,64405.085,27972.216447401883,Normal,1.3174138370226574
2025-03-17,BNK001,Premier Bank,60172.36,629,95.66,400,150.43,94.7,1,Monday,3,March,Q1,2025,12,False,21060.33,15043.09,12034.47,12034.47,15.0,Large,74968.43400000001,33206.10410078063,Normal,0.44558295532333086
2025-03-17,BNK002,Community First Bank,80182.77,549,146.05,382,209.9,96.2,1,Monday,3,March,Q1,2025,12,False,28063.97,20045.69,16036.55,16036.55,20.0,Medium,56474.15,26990.419240063686,Normal,0.8784087341928988
2025-03-17,BNK003,Metro Financial,79814.99,539,148.08,479,166.63,94.0,1,Monday,3,March,Q1,2025,12,False,27935.25,19953.75,15963.0,15963.0,12.0,Large,72100.742,28321.956636077775,Normal,0.2723769441187991
2025-03-17,BNK004,Regional Trust Bank,81059.38,706,114.81,487,166.45,94.3,1,Monday,3,March,Q1,2025,12,False,28370.78,20264.85,16211.88,16211.88,25.0,Medium,63965.9,39037.11951045633,Normal,0.43787759482154953
2025-03-17,BNK005,Digital Banking Corp,112026.48,972,115.25,598,187.34,94.2,1,Monday,3,March,Q1,2025,12,False,28006.62,28006.62,22405.3,33607.95,18.0,Large,95536.044,46393.04541517974,Normal,0.35545060369337933
2025-03-17,BNK006,Heritage Bank,38269.56,266,143.87,178,215.0,93.2,1,Monday,3,March,Q1,2025,12,False,13394.35,13394.35,7653.91,3826.96,10.0,Small,31477.75,14120.069462107826,Normal,0.48100400768043566
2025-03-17,BNK007,Innovation Bank,85980.85,886,97.04,710,121.1,98.1,1,Monday,3,March,Q1,2025,12,False,30093.3,21495.21,17196.17,17196.17,22.0,Large,68720.238,26075.590056646277,Normal,0.6619452124574469
2025-03-18,BNK001,Premier Bank,99889.3,1033,96.7,845,118.21,85.7,2,Tuesday,3,March,Q1,2025,12,False,34961.25,24972.32,19977.86,19977.86,15.0,Large,79121.91166666667,31394.657825918355,Normal,0.6614943360264463
2025-03-18,BNK002,Community First Bank,83802.86,970,86.39,825,101.58,94.6,2,Tuesday,3,March,Q1,2025,12,False,29331.0,20950.71,16760.57,16760.57,20.0,Medium,61028.935,26594.408866919188,Normal,0.8563425911800774
2025-03-18,BNK003,Metro Financial,113656.92,1221,93.09,747,152.15,96.7,2,Tuesday,3,March,Q1,2025,12,False,39779.92,28414.23,22731.38,22731.38,12.0,Large,79026.77166666667,30488.127259934754,Normal,1.1358568546399934
2025-03-18,BNK004,Regional Trust Bank,36740.05,293,125.39,191,192.36,81.6,2,Tuesday,3,March,Q1,2025,12,False,12859.02,9185.01,7348.01,7348.01,25.0,Medium,59428.25833333333,36642.3049371807,Normal,0.6191807085342974
2025-03-18,BNK005,Digital Banking Corp,111357.55,764,145.76,489,227.73,94.7,2,Tuesday,3,March,Q1,2025,12,False,27839.39,27839.39,22271.51,33407.26,18.0,Large,98172.96166666667,41994.90134528972,Normal,0.3139568831208162
2025-03-18,BNK006,Heritage Bank,38573.02,305,126.47,257,150.09,96.4,2,Tuesday,3,March,Q1,2025,12,False,13500.56,13500.56,7714.6,3857.3,10.0,Small,32660.295,12957.297764346931,Normal,0.45632392706674896
2025-03-18,BNK007,Innovation Bank,89787.74,766,117.22,515,174.35,92.7,2,Tuesday,3,March,Q1,2025,12,False,31425.71,22446.94,17957.55,17957.55,22.0,Large,72231.48833333333,24858.04479161257,Normal,0.7062603601305919
2025-03-19,BNK001,Premier Bank,78399.38,750,104.53,613,127.89,99.2,3,Wednesday,3,March,Q1,2025,12,False,27439.78,19599.84,15679.88,15679.88,15.0,Large,79018.69285714286,28660.571560895707,Normal,0.021608531282322353
2025-03-19,BNK002,Community First Bank,92860.91,653,142.21,544,170.7,97.1,3,Wednesday,3,March,Q1,2025,12,False,32501.32,23215.23,18572.18,18572.18,20.0,Medium,65576.36,27094.999625978347,Normal,1.0069957695751328
2025-03-19,BNK003,Metro Financial,92443.91,1146,80.67,722,128.04,97.3,3,Wednesday,3,March,Q1,2025,12,False,32355.37,23110.98,18488.78,18488.78,12.0,Large,80943.50571428573,28289.962985366885,Normal,0.406518887693947
2025-03-19,BNK004,Regional Trust Bank,72711.02,904,80.43,586,124.08,96.4,3,Wednesday,3,March,Q1,2025,12,False,25448.86,18177.76,14542.2,14542.2,25.0,Medium,61325.79571428571,33824.349651928205,Normal,0.33659846834823803
2025-03-19,BNK005,Digital Banking Corp,130777.08,1366,95.74,1111,117.71,93.9,3,Wednesday,3,March,Q1,2025,12,False,32694.27,32694.27,26155.42,39233.12,18.0,Large,102830.69285714286,40267.90700710667,Normal,0.6940114155405454
2025-03-19,BNK006,Heritage Bank,45300.42,440,102.96,362,125.14,97.2,3,Wednesday,3,March,Q1,2025,12,False,15855.15,15855.15,9060.08,4530.04,10.0,Small,34466.02714285714,12756.736173378771,Normal,0.8493075901148185
2025-03-19,BNK007,Innovation Bank,87470.96,730,119.82,458,190.98,94.9,3,Wednesday,3,March,Q1,2025,12,False,30614.84,21867.74,17494.19,17494.19,22.0,Large,74408.55571428571,23411.80647422639,Normal,0.5579408961924593
2025-03-20,BNK001,Premier Bank,114108.03,1157,98.62,778,146.67,99.8,4,Thursday,3,March,Q1,2025,12,False,39937.81,28527.01,22821.61,22821.61,15.0,Large,79969.73857142858,29847.168318625263,Normal,1.1437698566288583
2025-03-20,BNK002,Community First Bank,88180.1,710,124.2,595,148.2,96.0,4,Thursday,3,March,Q1,2025,12,False,30863.04,22045.03,17636.02,17636.02,20.0,Medium,67755.51142857144,28368.12879399252,Normal,0.7199836379674734
2025-03-20,BNK003,Metro Financial,87412.38,726,120.4,542,161.28,93.6,4,Thursday,3,March,Q1,2025,12,False,30594.33,21853.09,17482.48,17482.48,12.0,Large,81470.05714285714,28384.53923483094,Normal,0.20935068940104481
2025-03-20,BNK004,Regional Trust Bank,45554.77,557,81.79,442,103.07,93.4,4,Thursday,3,March,Q1,2025,12,False,15944.17,11388.69,9110.95,9110.95,25.0,Medium,60387.555714285714,34211.06398987559,Normal,0.43356692205408537
2025-03-20,BNK005,Digital Banking Corp,129348.16,886,145.99,785,164.77,99.3,4,Thursday,3,March,Q1,2025,12,False,32337.04,32337.04,25869.63,38804.45,18.0,Large,106805.47428571428,41472.690244652105,Normal,0.5435549413675327
2025-03-20,BNK006,Heritage Bank,39503.47,267,147.95,237,166.68,98.8,4,Thursday,3,March,Q1,2025,12,False,13826.21,13826.21,7900.69,3950.35,10.0,Small,34819.327142857146,12873.30659933662,Normal,0.3638647787184868
2025-03-20,BNK007,Innovation Bank,93030.0,924,100.68,661,140.74,98.8,4,Thursday,3,March,Q1,2025,12,False,32560.5,23257.5,18606.0,18606.0,22.0,Large,75962.69000000002,24353.578023722373,Normal,0.7008132432686084
2025-03-21,BNK001,Premier Bank,103331.16,868,119.05,764,135.25,97.6,5,Friday,3,March,Q1,2025,12,False,36165.91,25832.79,20666.23,20666.23,15.0,Large,78913.88142857143,28686.121752344767,Normal,0.8511878594893273
2025-03-21,BNK002,Community First Bank,80766.62,673,120.01,423,190.94,96.9,5,Friday,3,March,Q1,2025,12,False,28268.32,20191.66,16153.32,16153.32,20.0,Medium,69063.30571428571,28783.525628829106,Normal,0.40659766411632475
2025-03-21,BNK003,Metro Financial,121704.21,923,131.86,746,163.14,81.1,5,Friday,3,March,Q1,2025,12,False,42596.47,30426.05,24340.84,24340.84,12.0,Large,83727.28,31145.39456719511,Normal,1.2193433580706803
2025-03-21,BNK004,Regional Trust Bank,72924.5,725,100.59,611,119.35,98.5,5,Friday,3,March,Q1,2025,12,False,25523.57,18231.12,14584.9,14584.9,25.0,Medium,53375.39428571429,22502.16090868746,Normal,0.8687657062632747
2025-03-21,BNK005,Digital Banking Corp,144237.53,1061,135.94,843,171.1,97.6,5,Friday,3,March,Q1,2025,12,False,36059.38,36059.38,28847.51,43271.26,18.0,Large,104502.13857142857,38331.32757649606,Normal,1.036629669276999
2025-03-21,BNK006,Heritage Bank,66493.11,489,135.98,423,157.19,94.7,5,Friday,3,March,Q1,2025,12,False,23272.59,23272.59,13298.62,6649.31,10.0,Small,37540.50142857143,17254.575689616777,Moderate Anomaly,1.6779669979860055
2025-03-21,BNK007,Innovation Bank,79677.93,661,120.54,403,197.71,95.7,5,Friday,3,March,Q1,2025,12,False,27887.28,19919.48,15935.59,15935.59,22.0,Large,74539.43857142857,23703.432899055944,Normal,0.21678258379089357
2025-03-22,BNK001,Premier Bank,57868.63,490,118.1,336,172.23,96.7,6,Saturday,3,March,Q1,2025,12,True,20254.02,14467.16,11573.73,11573.73,15.0,Large,78192.72,29213.911310056264,Normal,0.6956990381840404
2025-03-22,BNK002,Community First Bank,40752.61,458,88.98,346,117.78,98.2,6,Saturday,3,March,Q1,2025,12,True,14263.41,10188.15,8150.52,8150.52,20.0,Medium,68951.64142857143,28909.36393065831,Normal,0.975428981980002
2025-03-22,BNK003,Metro Financial,61056.4,641,95.25,504,121.14,92.7,6,Saturday,3,March,Q1,2025,12,True,21369.74,15264.1,12211.28,12211.28,12.0,Large,83780.92571428571,31099.372229605568,Normal,0.7307068948694957
2025-03-22,BNK004,Regional Trust Bank,36410.15,308,118.21,243,149.84,97.8,6,Saturday,3,March,Q1,2025,12,True,12743.55,9102.54,7282.03,7282.03,25.0,Medium,52236.62714285714,23223.320456421756,Normal,0.681490709847255
2025-03-22,BNK005,Digital Banking Corp,58258.99,392,148.62,295,197.49,94.6,6,Saturday,3,March,Q1,2025,12,True,14564.75,14564.75,11651.8,17477.7,18.0,Large,103697.91714285714,39370.42256735959,Normal,1.154138670092119
2025-03-22,BNK006,Heritage Bank,22411.71,202,110.95,125,179.29,92.2,6,Saturday,3,March,Q1,2025,12,True,7844.1,7844.1,4482.34,2241.17,10.0,Small,37454.305714285714,17340.524539719914,Normal,0.8674821617898235
2025-03-22,BNK007,Innovation Bank,57001.7,386,147.67,328,173.79,97.6,6,Saturday,3,March,Q1,2025,12,True,19950.59,14250.42,11400.34,11400.34,22.0,Large,74357.61142857143,23853.401859412304,Normal,0.7276073882821443
2025-03-23,BNK001,Premier Bank,24598.67,270,91.11,182,135.16,96.4,7,Sunday,3,March,Q1,2025,12,True,8609.53,6149.67,4919.73,4919.73,15.0,Large,76909.64714285715,31599.67094407984,Moderate Anomaly,1.6554279073167866
2025-03-23,BNK002,Community First Bank,20994.74,161,130.4,128,164.02,94.2,7,Sunday,3,March,Q1,2025,12,True,7348.16,5248.69,4198.95,4198.95,20.0,Medium,69648.65857142858,27444.87305247462,Moderate Anomaly,1.7727871605892378
2025-03-23,BNK003,Metro Financial,33875.79,309,109.63,208,162.86,94.8,7,Sunday,3,March,Q1,2025,12,True,11856.53,8468.95,6775.16,6775.16,12.0,Large,84280.65714285713,30110.608450966087,Moderate Anomaly,1.6739903222128316
2025-03-23,BNK004,Regional Trust Bank,22646.09,170,133.21,102,222.02,92.9,7,Sunday,3,March,Q1,2025,12,True,7926.13,5661.52,4529.22,4529.22,25.0,Medium,52577.99428571429,22686.23882805232,Normal,1.319385928737665
2025-03-23,BNK005,Digital Banking Corp,35636.29,314,113.49,197,180.89,95.9,7,Sunday,3,March,Q1,2025,12,True,8909.07,8909.07,7127.26,10690.89,18.0,Large,103091.72571428573,40532.33293298773,Moderate Anomaly,1.6642376797262097
2025-03-23,BNK006,Heritage Bank,12929.56,114,113.42,74,174.72,95.5,7,Sunday,3,March,Q1,2025,12,True,4525.35,4525.35,2585.91,1292.96,10.0,Small,37640.12142857142,17021.70205462175,Normal,1.4517091974278793
2025-03-23,BNK007,Innovation Bank,32619.13,262,124.5,160,203.87,95.0,7,Sunday,3,March,Q1,2025,12,True,11416.7,8154.78,6523.83,6523.83,22.0,Large,75081.18714285715,22217.77028573578,Moderate Anomaly,1.9111754508560461
2025-03-24,BNK001,Premier Bank,78547.88,634,123.89,476,165.02,86.2,1,Monday,3,March,Q1,2025,13,False,27491.76,19636.97,15709.58,15709.58,15.0,Large,79534.72142857143,30728.773550745253,Normal,0.03211457258265652
2025-03-24,BNK002,Community First Bank,71963.14,594,121.15,523,137.6,96.6,1,Monday,3,March,Q1,2025,13,False,25187.1,17990.78,14392.63,14392.63,20.0,Medium,68474.42571428571,27092.63092390245,Normal,0.1287698598011157
2025-03-24,BNK003,Metro Financial,90657.68,845,107.29,670,135.31,95.7,1,Monday,3,March,Q1,2025,13,False,31730.19,22664.42,18131.54,18131.54,12.0,Large,85829.61285714286,30121.481367346303,Normal,0.1602865106126913
2025-03-24,BNK004,Regional Trust Bank,70302.73,656,107.17,582,120.8,99.2,1,Monday,3,March,Q1,2025,13,False,24605.95,17575.68,14060.55,14060.55,25.0,Medium,51041.33,20714.086016633704,Normal,0.9298696541345255
2025-03-24,BNK005,Digital Banking Corp,111405.25,1188,93.78,737,151.16,92.8,1,Monday,3,March,Q1,2025,13,False,27851.31,27851.31,22281.05,33421.58,18.0,Large,103002.97857142858,40510.183488144656,Normal,0.20741133969512507
2025-03-24,BNK006,Heritage Bank,38054.27,371,102.57,316,120.42,88.8,1,Monday,3,March,Q1,2025,13,False,13318.99,13318.99,7610.85,3805.43,10.0,Small,37609.36571428571,17020.569662147875,Normal,0.026139212408601675
2025-03-24,BNK007,Innovation Bank,83653.73,838,99.83,532,157.24,97.6,1,Monday,3,March,Q1,2025,13,False,29278.81,20913.43,16730.75,16730.75,22.0,Large,74748.74142857143,22044.228641475474,Normal,0.40396008933939864
2025-03-25,BNK001,Premier Bank,113494.0,863,131.51,725,156.54,94.3,2,Tuesday,3,March,Q1,2025,13,False,39722.9,28373.5,22698.8,22698.8,15.0,Large,81478.25,32603.75170823546,Normal,0.9819652132828954
2025-03-25,BNK002,Community First Bank,79609.49,861,92.46,710,112.13,98.5,2,Tuesday,3,March,Q1,2025,13,False,27863.32,19902.37,15921.9,15921.9,20.0,Medium,67875.37285714287,26741.293321343375,Normal,0.43880140731606415
2025-03-25,BNK003,Metro Financial,89774.26,846,106.12,704,127.52,94.7,2,Tuesday,3,March,Q1,2025,13,False,31420.99,22443.57,17954.85,17954.85,12.0,Large,82417.80428571429,27699.398286914016,Normal,0.26558178766508106
2025-03-25,BNK004,Regional Trust Bank,61759.91,425,145.32,364,169.67,87.8,2,Tuesday,3,March,Q1,2025,13,False,21615.97,15439.98,12351.98,12351.98,25.0,Medium,54615.59571428572,19980.71518919669,Normal,0.35756048860438777
2025-03-25,BNK005,Digital Banking Corp,101923.28,711,143.35,534,190.87,98.6,2,Tuesday,3,March,Q1,2025,13,False,25480.82,25480.82,20384.66,30576.98,18.0,Large,101655.22571428571,40342.49541604438,Normal,0.006644464675521288
2025-03-25,BNK006,Heritage Bank,41046.49,400,102.62,347,118.29,95.1,2,Tuesday,3,March,Q1,2025,13,False,14366.27,14366.27,8209.3,4104.65,10.0,Small,37962.718571428566,17069.514423017845,Normal,0.18065958715340125
2025-03-25,BNK007,Innovation Bank,75229.69,513,146.65,454,165.7,96.6,2,Tuesday,3,March,Q1,2025,13,False,26330.39,18807.42,15045.94,15045.94,22.0,Large,72669.02,21053.38944738511,Normal,0.1216274465638615
2025-03-26,BNK001,Premier Bank,90803.58,730,124.39,536,169.41,94.3,3,Wednesday,3,March,Q1,2025,13,False,31781.25,22700.89,18160.72,18160.72,15.0,Large,83250.27857142857,32745.303721907683,Normal,0.23066823544281326
2025-03-26,BNK002,Community First Bank,93073.84,701,132.77,587,158.56,98.3,3,Wednesday,3,March,Q1,2025,13,False,32575.85,23268.46,18614.77,18614.77,20.0,Medium,67905.79142857142,26774.552016155452,Normal,0.9399988674410862
2025-03-26,BNK003,Metro Financial,77076.07,892,86.41,667,115.56,92.5,3,Wednesday,3,March,Q1,2025,13,False,26976.62,19269.02,15415.21,15415.21,12.0,Large,80222.39857142858,27379.47125851619,Normal,0.11491560745351978
2025-03-26,BNK004,Regional Trust Bank,28649.73,201,142.54,141,203.19,92.9,3,Wednesday,3,March,Q1,2025,13,False,10027.41,7162.43,5729.95,5729.95,25.0,Medium,48321.125714285714,20268.256013516846,Normal,0.9705519656534294
2025-03-26,BNK005,Digital Banking Corp,145054.54,1611,90.04,1334,108.74,96.9,3,Wednesday,3,March,Q1,2025,13,False,36263.64,36263.64,29010.91,43516.36,18.0,Large,103694.86285714286,42370.19169194216,Normal,0.9761503427590774
2025-03-26,BNK006,Heritage Bank,38266.79,278,137.65,225,170.07,92.7,3,Wednesday,3,March,Q1,2025,13,False,13393.38,13393.38,7653.36,3826.68,10.0,Small,36957.91428571428,16769.978689294607,Normal,0.0780487404626974
2025-03-26,BNK007,Innovation Bank,83587.28,972,86.0,870,96.08,95.0,3,Wednesday,3,March,Q1,2025,13,False,29255.55,20896.82,16717.46,16717.46,22.0,Large,72114.20857142856,20645.530214208135,Normal,0.5557169667977688
2025-03-27,BNK001,Premier Bank,117315.32,801,146.46,717,163.62,98.0,4,Thursday,3,March,Q1,2025,13,False,41060.36,29328.83,23463.06,23463.06,15.0,Large,83708.46285714286,33267.31676752461,Normal,1.0102064250539133
2025-03-27,BNK002,Community First Bank,67839.27,637,106.5,398,170.45,98.2,4,Thursday,3,March,Q1,2025,13,False,23743.75,16959.82,13567.85,13567.85,20.0,Medium,64999.95857142857,25268.918981264596,Normal,0.11236378693827835
2025-03-27,BNK003,Metro Financial,67999.58,474,143.46,300,226.67,95.9,4,Thursday,3,March,Q1,2025,13,False,23799.85,16999.89,13599.92,13599.92,12.0,Large,77449.14142857143,27512.656036205968,Normal,0.34346234751512317
2025-03-27,BNK004,Regional Trust Bank,83550.48,1034,80.8,765,109.22,92.5,4,Thursday,3,March,Q1,2025,13,False,29242.67,20887.62,16710.1,16710.1,25.0,Medium,53749.08428571428,24124.77547617515,Normal,1.2353025106375235
2025-03-27,BNK005,Digital Banking Corp,135168.54,1118,120.9,993,136.12,95.0,4,Thursday,3,March,Q1,2025,13,False,33792.13,33792.13,27033.71,40550.56,18.0,Large,104526.34571428572,43009.80511556362,Normal,0.7124467131013815
2025-03-27,BNK006,Heritage Bank,43083.45,430,100.19,370,116.44,93.8,4,Thursday,3,March,Q1,2025,13,False,15079.21,15079.21,8616.69,4308.35,10.0,Small,37469.340000000004,16914.51325292474,Normal,0.3319108221473202
2025-03-27,BNK007,Innovation Bank,81225.89,543,149.59,337,241.03,96.4,4,Thursday,3,March,Q1,2025,13,False,28429.06,20306.47,16245.18,16245.18,22.0,Large,70427.90714285713,19074.741705420034,Normal,0.5660880248813356
2025-03-28,BNK001,Premier Bank,137703.08,931,147.91,704,195.6,97.0,5,Friday,3,March,Q1,2025,13,False,48196.08,34425.77,27540.62,27540.62,15.0,Large,88618.73714285714,38733.876369791484,Normal,1.267220001131198
2025-03-28,BNK002,Community First Bank,82225.04,663,124.02,514,159.97,99.2,5,Friday,3,March,Q1,2025,13,False,28778.76,20556.26,16445.01,16445.01,20.0,Medium,65208.30428571429,25426.107189761242,Normal,0.6692623289631267
2025-03-28,BNK003,Metro Financial,132105.17,1588,83.19,1086,121.64,99.6,5,Friday,3,March,Q1,2025,13,False,46236.81,33026.29,26421.03,26421.03,12.0,Large,78934.99285714285,30427.491781457393,Moderate Anomaly,1.7474387151181234
2025-03-28,BNK004,Regional Trust Bank,70003.23,567,123.46,387,180.89,82.9,5,Friday,3,March,Q1,2025,13,False,24501.13,17500.81,14000.65,14000.65,25.0,Medium,53331.759999999995,23760.29713206676,Normal,0.7016524207308957
2025-03-28,BNK005,Digital Banking Corp,155197.1,1481,104.79,1147,135.31,92.6,5,Friday,3,March,Q1,2025,13,False,38799.28,38799.28,31039.42,46559.13,18.0,Large,106091.99857142857,44856.15587054968,Normal,1.0947238004585989
2025-03-28,BNK006,Heritage Bank,49640.43,488,101.72,411,120.78,77.8,5,Friday,3,March,Q1,2025,13,False,17374.15,17374.15,9928.09,4964.04,10.0,Small,35061.81428571428,12791.843089906757,Normal,1.139680623958622
2025-03-28,BNK007,Innovation Bank,135624.73,943,143.82,798,169.96,99.6,5,Friday,3,March,Q1,2025,13,False,47468.65,33906.18,27124.95,27124.95,22.0,Large,78420.30714285714,31360.772232889252,Moderate Anomaly,1.824075709371416
2025-03-29,BNK001,Premier Bank,66677.67,610,109.31,536,124.4,98.9,6,Saturday,3,March,Q1,2025,13,True,23337.18,16669.42,13335.53,13335.53,15.0,Large,89877.17142857143,37697.556976307475,Normal,0.6154112703683179
2025-03-29,BNK002,Community First Bank,58289.93,700,83.27,425,137.15,95.0,6,Saturday,3,March,Q1,2025,13,True,20401.47,14572.48,11657.99,11657.99,20.0,Medium,67713.63571428572,23397.890509414767,Normal,0.4027587747918487
2025-03-29,BNK003,Metro Financial,55914.69,524,106.71,466,119.99,89.3,6,Saturday,3,March,Q1,2025,13,True,19570.14,13978.67,11182.94,11182.94,12.0,Large,78200.46285714286,30987.919843870186,Normal,0.7191761489453857
